abstracts	labels
development of single - stranded dna aptamers for specific bisphenol a detection .. the development of reagents with high affinity and specificity to small molecules is crucial for the high - throughput detection of chemical compounds , such as toxicants or pollutants . aptamers are short and single - stranded ( ss ) oligonucleotides able to recognize target molecules with high affinity . here , we report the selection of ssdna aptamers that bind to bisphenol a ( bpa ), an environmental hormone . using selex process , we isolated high affinity aptamers to bpa from a 10 ( 15 ) random library of 60 mer ssdnas . the selected aptamers bound specifically to bpa , but not to structurally similar molecules , such as bisphenol b with one methyl group difference , or 4 , 4 '- bisphenol with 2 methyl groups difference . using these aptamers , we developed an aptamer - based sol - gel biochip and detected bpa dissolved in water . this novel bpa aptamer - based detection can be further applied to the universal and high - specificity detection of small molecules .	0
treatment of landfill leachate by electrochemical oxidation and anaerobic process .. the removal performance of typical refractory organic compounds in landfill leachate was investigated during the electrochemical ( ec ) oxidation and anaerobic process combined treatment system in this paper . the results indicated that the treatment of landfill leachate by the combined system was highly effective . the toxicity of leachate was notably decreased after the electrochemical oxidation process and the biodegradability was improved . the concentration of the organic acid with low molecular weight in the leachate increased from 28 % to 90 % based on the biodegradability assays after the ec oxidation process . the anaerobic digestion could further remove the residual organic compounds . at a hydraulic retention time ( hrt ) of 16 hours and an organic loading rate ( olr ) of 8 kg cod / m3 d , the concentration of cod , ss , alk , va , n - tkn , n - nh4 + and p - po4 ( 3 )- [ corrected ] in uasb effluent were 532 , 12 , 6744 , 400 , 540 , 455 and 11 . 6 mg / l , respectively , with approximately 90 % removal efficiency of cod . the organic compounds in the landfill leachate revealed different degradation characteristics in the combined system . p - chloroaniline , bisphenol a , 6 - methyl - 2 - phenyl - quinoline , dimethylnaphthaline and n '-( 2 - methyl - 4 - chlorophenyl )- n - cyclohexyformamidine , classified into the first group in this paper , were completely removed by the ec oxidation and did not reappear in the effluent of the uasb reactor . phenylacetic acid , 3 - methyl - indole and n - cyclohexyl - acetamide , called the second group , were completely removed , but reappeared in the uasb reactor . 4 - methyl - phenol , 3 , 4 - dihydroisoquinoline , 2 ( 3h )- benzothiazolone , exo - 2 - hydroxycineole and benzothiazole , the third group , were degraded little in the ec oxidation process , but extensively removed by the anaerobic process . benzoic acid , benzenepropanoic acid and 2 - cyano - 3 , 5 - dimethyl - 1 - hydroxypyrrole , the fourth group , concentration obviously increased in the ec process , but was completely removed in the uasb reactor . the content of volatile fatty acids ( vfas ) markedly increased from 0 . 68 % in the leachate to 16 . 18 % in the effluent from the electrochemical oxidation process ( ec ( effl )). in addition , the degradation rate of organic compounds from the landfill leachate was different in the ec oxidation and anaerobic process .	0
in situ tooth replica custom implant : rationale , material , and technique .. this study introduced a new concept of an in situ , custom - made , tooth replica dental implant . it was obtained by injecting a self - set , nonresorbable polymer type bone graft substitute into the tooth socket after extraction . based on its cited properties , new composite bone cement cortoss was suggested . the properties were reviewed and evaluated . the technique of application was described with a simulation model presented that appeared simple . apparently , immediate duplication of tooth anatomy was achieved ; thus , the concept might have the potentials of spontaneous adaptation and stabilization , preservation of alveolar bone , increasing implant - bone surface area , better load distribution , and bone stimulation . modifications were also described to manage cases of resorbed alveolar bone as well as long - standing extracted teeth . investigations were still required to assess the performance of the material and if modifications would be needed .	0
developmental reprogramming of reproductive and metabolic dysfunction in sheep : native steroids vs . environmental steroid receptor modulators .. the inappropriate programming of developing organ systems by exposure to excess native or environmental steroids , particularly the contamination of our environment and our food sources with synthetic endocrine disrupting chemicals that can interact with steroid receptors , is a major concern . studies with native steroids have found that in utero exposure of sheep to excess testosterone , an oestrogen precursor , results in low birth weight offspring and leads to an array of adult reproductive / metabolic deficits manifested as cycle defects , functional hyperandrogenism , neuroendocrine / ovarian defects , insulin resistance and hypertension . furthermore , the severity of reproductive dysfunction is amplified by excess postnatal weight gain . the constellation of adult reproductive and metabolic dysfunction in prenatal testosterone - treated sheep is similar to features seen in women with polycystic ovary syndrome . prenatal dihydrotestosterone treatment failed to result in similar phenotype suggesting that many effects of prenatal testosterone excess are likely facilitated via aromatization to oestradiol . similarly , exposure to environmental steroid imposters such as bisphenol a ( bpa ) and methoxychlor ( mxc ) from days 30 to 90 of gestation had long - term but differential effects . exposure of sheep to bpa , which resulted in maternal levels of 30 - 50 ng / ml bpa , culminated in low birth weight offspring . these female offspring were hypergonadotropic during early postnatal life and characterized by severely dampened preovulatory lh surges . prenatal mxc - treated females had normal birth weight and manifested delayed but normal amplitude lh surges . importantly , the effects of bpa were evident at levels , which approximated twice the highest levels found in human maternal circulation of industrialized nations . these findings provide evidence in support of developmental origin of adult reproductive and metabolic diseases and highlight the risk posed by exposure to environmental endocrine disrupting chemicals .	1
transfer of maternally injected endocrine disruptors through breast milk during lactation induces neonatal calbindin - d9k in the rat model .. the uterus is a highly estrogen - responsive tissue , which can be measured through changes in cabp - 9k expression . in this study , we investigated the potential for estrogenic compounds 4 - tert - octylphenol ( op ), nonylphenol ( np ), bisphenol a ( bpa ), diethylstilbestrol ( des ) and 17beta - estradiol ( e2 ) to be transferred through breast milk from dam to neonate during lactation using the induction of cabp - 9k in uterine tissue as a biomarker . dams were treated with op , np and bpa , dissolved in corn oil , at doses of 200 , 400 and 600 mg / kg body weight per day l for 5 days after delivery . dams and neonates were euthanized after 24h . treatment with these estrogenic compounds increased the expression of cabp - 9k mrna in the maternal uterus , in a dose - dependent manner . all doses of estrogenic compounds resulted in an increase in cabp - 9k protein levels . these compounds have an estrogenic effect on the maternal uterus during the lactation period as shown by the induction of both cabp - 9k mrna and protein . in the neonatal uterus , the expression of cabp - 9k mrna and protein significantly increased with des exposure . there was a significant increase in cabp - 9k mrna in neonatal uterus when the dams were treated with high doses of estrogenic compounds , but protein levels of cabp - 9k were undetectable . taken together , these findings suggest that maternally injected estrogenic compounds may be transferred to neonates through breast milk and thus affecting uterine function , as shown by the induction of cabp - 9k gene expression in the neonatal uterus .	0
effect of dentine on release of tegdma from resin composite in vitro .. triethylene glycol dimethacrylate ( tegdma ) is a component of some resin composites which contributes to their cytotoxicity . the presence of dentine between resin composite and test cells reduces the cytotoxicity in vitro . to determine why dentine has this protective effect , the diffusion of tegdma from a composite resin through dentine to the pulp space was compared with release directly into aqueous solution in vitro . both release rate and total cumulative release of tegdma for the two groups , at times up to 100 days , were determined using reversed - phase hplc . release rate directly into water was highest in the minutes immediately after immersion and declined thereafter . however , in the tooth model , using an equivalent mass and surface area of composite resin , no tegdma was detectable in the pulp space until 43 min after restoration placement . the rate of diffusion through dentine from that time until day 1 was less than 1 % of the highest ( initial ) direct release rate . the rate declined thereafter . it is relevant , however , that by day 3 the total cumulative release of tegdma through dentine was 60 % of the direct release . dentine therefore appears to exert its protective effect principally by retarding or ' damping ' the initial high release of tegdma to a substantial degree .	0
highly potent binding and inverse agonist activity of bisphenol a derivatives for retinoid - related orphan nuclear receptor rorγ .. the plastic chemical bisphenol a ( bpa ) has recently been suspected to be a base structure of endocrine disrupting chemicals , which achieve their adverse effects by interfering with human nuclear receptors . for instance , bpa , bisphenol af , and tetrabromo - or tetrachloro - bpa ( x₄ - bpa ) have been characterized as binders for errγ , er , and pparγ , respectively . this ongoing string of findings has led to apprehension that some other bpa derivatives might also perturb important human nuclear receptors . the retinoid - related orphan receptor rorγ has been strongly suspected to be a target of highly hydrophobic chemical substances because of its extreme affinity for lipophilic sterols . in the present study , we tested a series of bpa derivatives for their ability to bind to rorγ , and identified two distinctly potent derivatives having isopropyl or sec - butyl groups at positions adjacent to the bpa - 4 - hydroxyl group . in particular , di - sec - butyl - bpa has emerged as a considerably potent ligand ( ic₅₀ )= 146 nm ). in the reporter gene assay , these compounds suppressed the basal constitutive transcriptional activity originally induced by wild - type rorγ . the present results strongly suggested that rorγ , and perhaps also rorα and rorβ , binds highly hydrophobic and sterically hindered chemical substances , inducing some unspecified physiological and biochemical disruptions .	1
a comparison of the influence of two bonding agents on the marginal seal of composite resin restorations in radicular dentin -- an in vitro study .	0
sensitivity to epoxy resins and triethylenetetramine .. the present studies concerned 31 work sites in eight factories at which 422 persons were employed . in the course of seven years there were 126 cases of dermatitis , 99 of whom were patch - tested . positive reactions to epoxy resin and / or to triethylenetetramine were found in 65 . 7 % of the subjects . the aetiology of the other cases is discussed . some of the patients who were positive to epoxy resin were tested with bisphenol a and modified resins with blocked epoxy groups . the latency period of dermatitis and the localization were recorded , as well as the influence of the season and of certain working conditions on the occurrence of sensitization . of the 80 patients who changed their occupation , there were relapses in 50 within one year . relapses were more frequent in persons who continued to work with epoxy resins for more than three months after the appearance of dermatitis and in those simultaneously sensitive to allergens in the standard series .	0
phthalates and bisphenols migration in mexican food cans and plastic food containers .. the presence of endocrine disruptors bisphenol - a , bisphenol - a - dimethacrylate , bisphenol - a - diglycidyl - ether , phthalic - acid , dibutyl - phthalate , diethyl - phthalate and dioctyl - phthalate was determined in vegetable cans , baby bottles and microwaveable containers from the mexican market . gas - chromatography - mass - spectrometry was used for the identification and high - performance - liquid - chromatography with uv / visible light and fluorescence detectors was used for the quantification . endocrine disruptors were found in all samples . pa and dop were the substances most commonly found , and maximum concentrations were 9 . 549 and 0 . 664 μg / kg , respectively from a jalapeno peppers can . bisphenol a , phthalic - acid , bisphenol - a - dimethacrylate , bisphenol - a - diglycidyl - ether , dioctyl - phtalate and dibutyl - phthalate were found in baby bottles and microwaveable containers .	0
